ticker,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
ALOT,-0.231976,-0.248091,0.567937,0.755692,-0.404324,-0.428867,-0.021242,0.716961,-0.684549,0.346533,-1.187769,0.538313,0.790533,-0.288380,0.062647,0.602690,-0.114101,0.243574,0.754903,0.145696,-0.369656,0.366465,0.166485,0.665023,-0.007869,-0.170671,1.312239,0.513517,0.316239,-0.265695,-0.894708,-0.785659
ALVOW,-0.242320,-0.181962,0.599674,0.704564,-0.392108,-0.498374,-0.094670,0.753824,-0.632297,0.383497,-1.150714,0.574115,0.850172,-0.321109,-0.040968,0.614908,-0.229075,0.168006,0.782108,0.187633,-0.393877,0.369811,0.103946,0.655104,-0.104130,-0.165824,1.325107,0.641336,0.290641,-0.294646,-0.936057,-0.700932
ALVO,-0.147288,-0.307784,0.570453,0.740526,-0.358375,-0.398935,0.051286,0.673972,-0.775050,0.288276,-1.271623,0.536663,0.654582,-0.235115,0.141223,0.574065,0.003002,0.218348,0.694101,0.125632,-0.291701,0.359921,0.253391,0.686967,0.116785,-0.272501,1.224380,0.421264,0.361877,-0.319319,-0.826701,-0.887631
ALXO,-0.135355,-0.237957,0.601965,0.730848,-0.375011,-0.448269,0.049921,0.663733,-0.770558,0.262906,-1.253505,0.575740,0.701746,-0.204411,0.083013,0.578833,-0.008192,0.206768,0.691504,0.147765,-0.298719,0.359067,0.255526,0.682813,0.072486,-0.245753,1.233394,0.455507,0.370485,-0.284601,-0.860344,-0.840271
ALX,-0.175965,-0.301007,0.552584,0.759134,-0.386272,-0.402529,0.034113,0.696846,-0.744625,0.285294,-1.241102,0.519476,0.690288,-0.239780,0.118964,0.573257,-0.011796,0.242071,0.718821,0.126334,-0.312752,0.362034,0.234534,0.690484,0.096656,-0.230730,1.252325,0.429457,0.341758,-0.304927,-0.849249,-0.848657
ALZN,-0.164297,-0.273359,0.584329,0.741127,-0.364265,-0.415818,0.039435,0.673453,-0.752885,0.301465,-1.251662,0.551873,0.695184,-0.240864,0.117108,0.581987,-0.035920,0.200068,0.707346,0.141739,-0.313327,0.362590,0.231451,0.675633,0.071191,-0.250007,1.248924,0.462334,0.347522,-0.296207,-0.850286,-0.860763
AMAL,-0.151457,-0.329242,0.547265,0.757624,-0.368689,-0.387583,0.055190,0.683697,-0.770981,0.260110,-1.266021,0.521849,0.638285,-0.226450,0.145055,0.557761,0.031950,0.234246,0.699781,0.119251,-0.285231,0.358718,0.265355,0.696355,0.145433,-0.262946,1.216434,0.395686,0.353843,-0.327012,-0.827639,-0.871430
AMAT,-0.149525,-0.315196,0.551437,0.755600,-0.372056,-0.395873,0.051964,0.680622,-0.771843,0.256270,-1.260596,0.527745,0.648257,-0.222748,0.134538,0.561081,0.031772,0.240127,0.699747,0.121080,-0.286190,0.358557,0.265802,0.695099,0.137518,-0.255745,1.218454,0.400680,0.357374,-0.320979,-0.830981,-0.861216
AMBA,-0.136023,-0.314217,0.569856,0.732712,-0.348311,-0.392983,0.058197,0.663028,-0.786109,0.278152,-1.283196,0.539480,0.632580,-0.232109,0.148074,0.574503,0.018469,0.221187,0.684907,0.116157,-0.284365,0.358378,0.265107,0.685949,0.132336,-0.282793,1.208200,0.412176,0.363804,-0.328074,-0.815574,-0.893385
AMBO,-0.200526,-0.229957,0.595287,0.737068,-0.380560,-0.444903,-0.003826,0.694538,-0.706806,0.333494,-1.206613,0.565943,0.772854,-0.266516,0.060945,0.592565,-0.106442,0.194109,0.735555,0.162536,-0.348089,0.361719,0.176932,0.664954,-0.003242,-0.204598,1.288159,0.525435,0.327043,-0.271180,-0.890665,-0.798366
