run_date,date,as_of_close_date,ticker,status,best_horizon,best_pred_prob,best_pred_std,best_adj_prob,close
2026-04-21,2026-04-21,2026-04-20,AMTD,no_buy,6m,0.15509265661239624,0.02280030958354473,0.15509265661239624,1.02
2026-04-21,2026-04-21,2026-04-20,AIZ,no_buy,1m,0.15505753457546234,0.036333948373794556,0.15505753457546234,226.28
2026-04-21,2026-04-21,2026-04-20,AQNB,no_buy,1m,0.15492859482765198,0.03455134481191635,0.15492859482765198,25.89
2026-04-21,2026-04-21,2026-04-20,ALMU,no_buy,1m,0.15469564497470856,0.024881770834326744,0.15469564497470856,16.67
2026-04-21,2026-04-21,2026-04-20,ARMP,no_buy,6m,0.15405847132205963,0.029144007712602615,0.15405847132205963,12.61
2026-04-21,2026-04-21,2026-04-20,BNAIW,no_buy,1m,0.15399138629436493,0.03558002784848213,0.15399138629436493,0.2402
2026-04-21,2026-04-21,2026-04-20,BRC,no_buy,6m,0.1538752317428589,0.041248299181461334,0.1538752317428589,82.93
2026-04-21,2026-04-21,2026-04-20,BTOC,no_buy,1m,0.15381303429603577,0.023940205574035645,0.15381303429603577,0.2812
2026-04-21,2026-04-21,2026-04-20,BSVN,no_buy,1m,0.1534680873155594,0.03333505615592003,0.1534680873155594,43.82
2026-04-21,2026-04-21,2026-04-20,AMPG,no_buy,1m,0.15222841501235962,0.02421570010483265,0.15222841501235962,2.0
2026-04-21,2026-04-21,2026-04-20,AISP,no_buy,6m,0.151851087808609,0.030566543340682983,0.151851087808609,2.49
2026-04-21,2026-04-21,2026-04-20,ARAI,no_buy,6m,0.15175068378448486,0.02276168018579483,0.15175068378448486,0.9791
2026-04-21,2026-04-21,2026-04-20,BSBK,no_buy,1m,0.1517149955034256,0.02382214181125164,0.1517149955034256,8.56
2026-04-21,2026-04-21,2026-04-20,BTI,no_buy,6m,0.15139585733413696,0.029003556817770004,0.15139585733413696,57.05
2026-04-21,2026-04-21,2026-04-20,ANSCU,no_buy,1m,0.15129728615283966,0.02838185988366604,0.15129728615283966,11.5
2026-04-21,2026-04-21,2026-04-20,ARBKL,no_buy,6m,0.1506034880876541,0.024983054026961327,0.1506034880876541,5.3
2026-04-21,2026-04-21,2026-04-20,AI,no_buy,6m,0.1505032330751419,0.027495691552758217,0.1505032330751419,9.375
2026-04-21,2026-04-21,2026-04-20,BMN,no_buy,6m,0.1504160761833191,0.033016882836818695,0.1504160761833191,26.2054
