[v5] device=cuda | visible GPUs=1 | current=cuda:0 (NVIDIA GeForce RTX 5090)
[v5] building frames for 7597 tickers ...
[v5] usable frames: 7094
[v5] eval_mode=time eval_tickers=0 val_tickers=0
[v5] scaler fit on 23948324 train rows
[v5] era-proxy audit (|rho|>0.2): none
[v5] class rates [train] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.57, 0.22]  1m:[0.21, 0.54, 0.24]  6m:[0.22, 0.51, 0.26]
[v5] class rates [val] (down/neutral/up): 1d:[0.21, 0.59, 0.21]  1w:[0.22, 0.56, 0.22]  1m:[0.23, 0.53, 0.23]  6m:[0.23, 0.52, 0.25]
[v5] class rates [oos] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.56, 0.23]  1m:[0.22, 0.53, 0.25]  6m:[0.23, 0.46, 0.31]
[v5] train windows: 23105132 | val windows (subsampled): 1000000 | eval tickers: 4992
[v5] schedule | 90255 steps/epoch | budget 1805100 steps (~20.0 ep) | t_max 1805100 | eval every 10000 steps | patience 10 (~100000 steps no-improve) | workers 8 | members [1, 2)
[v5] val constant-marginal baseline CE = 3.5478 (model must beat this to be learning anything conditional)
[member 1] start | 23105132 train / 1000000 val windows | 90255 steps/epoch | eval every 10000 steps | max 1805100 steps | patience 10
[member 1] step 7900/1805100 (ep 0.09) | loss 3.3384 | lr 3.00e-04 | 12.4 it/s | eta 2416m
[member 1] step 8000/1805100 (ep 0.09) | loss 3.3396 | lr 3.00e-04 | 12.4 it/s | eta 2415m
[member 1] step 8100/1805100 (ep 0.09) | loss 3.3365 | lr 3.00e-04 | 12.4 it/s | eta 2415m
[member 1] step 8200/1805100 (ep 0.09) | loss 3.3360 | lr 3.00e-04 | 12.4 it/s | eta 2414m
[member 1] step 8300/1805100 (ep 0.09) | loss 3.3393 | lr 3.00e-04 | 12.4 it/s | eta 2414m
[member 1] step 8400/1805100 (ep 0.09) | loss 3.3319 | lr 3.00e-04 | 12.4 it/s | eta 2414m
[member 1] step 8500/1805100 (ep 0.09) | loss 3.3363 | lr 3.00e-04 | 12.4 it/s | eta 2413m
[member 1] step 8600/1805100 (ep 0.10) | loss 3.3305 | lr 3.00e-04 | 12.4 it/s | eta 2413m
[member 1] step 8700/1805100 (ep 0.10) | loss 3.3292 | lr 3.00e-04 | 12.4 it/s | eta 2413m
[member 1] step 8800/1805100 (ep 0.10) | loss 3.3392 | lr 3.00e-04 | 12.4 it/s | eta 2412m
[member 1] step 8900/1805100 (ep 0.10) | loss 3.3264 | lr 3.00e-04 | 12.4 it/s | eta 2412m
[member 1] step 9000/1805100 (ep 0.10) | loss 3.3292 | lr 3.00e-04 | 12.4 it/s | eta 2412m
[member 1] step 9100/1805100 (ep 0.10) | loss 3.3214 | lr 3.00e-04 | 12.4 it/s | eta 2411m
[member 1] step 9200/1805100 (ep 0.10) | loss 3.3273 | lr 3.00e-04 | 12.4 it/s | eta 2411m
[member 1] step 9300/1805100 (ep 0.10) | loss 3.3259 | lr 3.00e-04 | 12.4 it/s | eta 2410m
[member 1] step 9400/1805100 (ep 0.10) | loss 3.3258 | lr 3.00e-04 | 12.4 it/s | eta 2410m
[member 1] step 9500/1805100 (ep 0.11) | loss 3.3214 | lr 3.00e-04 | 12.4 it/s | eta 2410m
[member 1] step 9600/1805100 (ep 0.11) | loss 3.3225 | lr 3.00e-04 | 12.4 it/s | eta 2409m
[member 1] step 9700/1805100 (ep 0.11) | loss 3.3238 | lr 3.00e-04 | 12.4 it/s | eta 2409m
[member 1] step 9800/1805100 (ep 0.11) | loss 3.3192 | lr 3.00e-04 | 12.4 it/s | eta 2408m
[member 1] step 9900/1805100 (ep 0.11) | loss 3.3201 | lr 3.00e-04 | 12.4 it/s | eta 2408m
[member 1] step 10000/1805100 (ep 0.11) | loss 3.3211 | lr 3.00e-04 | 12.4 it/s | eta 2408m
[member 1] EVAL step 10000 (ep 0.11) | val_ce 3.5540 | best 3.5540 | base 3.5478 MISS | IMPROVED
[member 1] step 10100/1805100 (ep 0.11) | loss 3.3171 | lr 3.00e-04 | 10.8 it/s | eta 2768m
[member 1] step 10200/1805100 (ep 0.11) | loss 3.3205 | lr 3.00e-04 | 10.8 it/s | eta 2764m
[member 1] step 10300/1805100 (ep 0.11) | loss 3.3157 | lr 3.00e-04 | 10.8 it/s | eta 2761m
[member 1] step 10400/1805100 (ep 0.12) | loss 3.3190 | lr 3.00e-04 | 10.9 it/s | eta 2756m
[member 1] step 10500/1805100 (ep 0.12) | loss 3.3119 | lr 3.00e-04 | 10.9 it/s | eta 2752m
[member 1] step 10600/1805100 (ep 0.12) | loss 3.3103 | lr 3.00e-04 | 10.9 it/s | eta 2749m
[member 1] step 10700/1805100 (ep 0.12) | loss 3.3120 | lr 3.00e-04 | 10.9 it/s | eta 2745m
[member 1] step 10800/1805100 (ep 0.12) | loss 3.3148 | lr 3.00e-04 | 10.9 it/s | eta 2742m
[member 1] step 10900/1805100 (ep 0.12) | loss 3.3114 | lr 3.00e-04 | 10.9 it/s | eta 2738m
